,id,country,province,winery,variety,points,description
128291,197390,France,Burgundy,Domaine Jessiaume,Pinot Noir,88,highly perfumed boasting firm core dryness weighty feeling light berry giving sense floats glass offer short term aging
257979,27078,Chile,Limarí Valley,Tamaya,Sauvignon Blanc,85,nearly colorless crisp racy northerly limarí starts snappy lime white grapefruit orange aromas reflecting cooler origin sharp goes short flashy scouring imported ecovalley quality group national refrescos import company
174625,143724,US,California,Q,Cabernet Sauvignon,87,cabernet price made drinking blackberry cherry kissed smoky
250362,19461,France,Burgundy,Vins Auvigue,Chardonnay,87,soft finely textured great swathes spiced apricot pear juice fine delicious
176369,145468,France,Burgundy,Domaine Pommier,Chardonnay,88,crisp minerally apple grapefruit feel fresh fruity upfront lends intensely refreshing character ready
256361,25460,Greece,Drama,Domaine Costa Lazaridi,Chardonnay,88,lemon tropical flowers vibrant chardonnay chateau julia clean start lively fresh floral crisp depth great food wine—or alone
200664,219763,US,California,Sbragia,Cabernet Sauvignon,90,ample cabernet impresses lushness blackberry herb spicy briary powerful best now–
148381,117480,Chile,Lolol Valley,François Lurton,Red Blend,91,woodsy spicy aromas herbal plum berry light coating chocolate round rubbery palate tight long saturated plum blackberry oaky front extracted runs long hold back
110323,179422,US,California,Greenwood Ridge,Zinfandel,90,zinfandel usually four cellar bone quite classic wild berry tobacco grilled meat spice tannic depth balance blossom
96360,165459,France,Burgundy,Demessey,Pinot Noir,84,firm mainly tannin without great element tight hard edged
227990,247089,US,California,Harlow Ridge,Pinot Noir,83,simple acidic thin cherries strawberries greener minty
233828,2927,US,California,Williamson Wines,Bordeaux-style Red Blend,84,rough texture berry cherry tobacco herb spice wrapped edgy slightly green turns sharp likely
46996,66095,France,Burgundy,Alex Gambal,Pinot Noir,87,textured tight offers firm fruits berry plenty touch minerality develop
163760,132859,France,Alsace,Domaine Schoffit,Riesling,91,elegant poised bone nervy lightly fruity balanced fresh fruitiness bright texture food
78009,97108,France,Bordeaux,Château Bernés,Bordeaux-style Red Blend,83,seems unfocused indistinct soapy texture berry fruits awash
96311,165410,Germany,Rheinhessen,Dr. Volkmar,Riesling,87,luscious honeyed tangerine yellow peach offset streak minerality riesling delicate body juicy refreshing
271969,41068,US,California,Victor Vineyards,Zinfandel,87,full bore smells like strawberries cherries tastes jammy chocolaty almost thick texture hangs ripeness pair salty cheeses chocolate dessert
176137,145236,Argentina,Mendoza Province,Bodega Catena Zapata,Cabernet Sauvignon,92,deep lush balanced oaky bacon floral huge raspberry cassis aromas layered structured across palate concentration balance lusty cassis blackberry mocha spice finishes toasty dark waves espresso mocha now–
8862,258862,Chile,Colchagua Valley,Domaines Barons de Rothschild (Lafite),Chardonnay,85,tropical style vascos expected casablanca chardonnay tastes smells seems like sauvignon blanc chardonnay usual spunky citric green grapefruity breed unto zesty green character
270520,39619,US,California,Big Basin,Pinot Noir,92,made whole cluster bottling bradley brown allows lusher cherry alongside slate mint sandalwood cherry elements meet cranberry palate growing complex layers graphite leaf pine needle turned forest floor arise
18479,268479,Austria,Wachau,Alzinger,Riesling,90,intense powerful racy fresh full flavored opulent exotic perfumes reminiscent honey wild flowers waft glass
52073,71172,Italy,Tuscany,Castello Banfi,Red Blend,92,summus blend sangiovese cabernet syrah brawny powerful meaty extraction layered aromas plum blackberry cherry fruity framed elegant mineral tones
15372,265372,US,California,Christian Lazo,Zinfandel,82,soft simple sweet something pour cream terrifically ripe—cherries raspberries dates vanilla fudge butterscotch look alcohol
62585,81684,US,California,Foley,Pinot Noir,88,restrained bottling shows cherry dusty earth sagebrush rosebud palate blends sour sweet tones candied cranberry thyme leaf proving quite clean tasty
171792,140891,France,Bordeaux,Château La Clare,Bordeaux-style Red Blend,90,group chateaus owned guyon family rolland intensely fruity finely balanced smoky layers delicious currant
230190,249289,US,California,Sand Hill,Pinot Noir,87,enjoyed cherries raspberries cola coat sweetly smoked sandalwood pleasant pinot noir light body sharpness argue ageability
274766,43865,US,California,Meridian,Pinot Noir,88,always dependable producer comes lovely supple plenty bright raspberry cherry cola nuanced smoke spice terribly complex makes liveliness acids balance silky harmony
207182,226281,US,California,Roessler,Pinot Noir,91,cherry raspberry filling currant cola exotic pomegranate super spicy bone pinot shows classy elegance vineyard source downside tart contained squirt lime juice hard tell anywhere decanting grilled steak
80781,99880,US,Washington,Hogue,Chardonnay,86,surprisingly full bodied loaded instantly appealing chardonnay hogue mixes generous apple butter toasted almonds spice
182572,201671,US,California,Louis M. Martini,Zinfandel,84,copy found porty raisiny stewed prune chocolate crust quality actually tastes hotter official alcohol reading
64753,83852,US,California,Yao Ming,Cabernet Sauvignon,97,former basketball star initial release immediately establishes among elite cabernets napa valley made mountain vineyards atlas peak benches rutherford appellation combines intensity elegance bursts upfront delicious blackberry crème cassis dark chocolate wildly sweet midpalate thoroughly structure comes tangy minerality finely laced wines softly decadent start probably hold beyond
231651,750,US,California,De Loach,Pinot Noir,87,soft appealing pinot offers lush elaborate raspberry cherry filling mocha sandalwood finished sweet dusty indian spices made drinking
32895,51994,US,California,Liparita,Cabernet Sauvignon,92,herbs toast play standard fare blackberries plums creating whole full deep long—a thoroughbred another wines everyone taste california cabernet like charming high quality necessarily ultracomplex
2695,252695,Argentina,Mendoza Province,Pascual Toso,Chardonnay,87,major league oakster oily popcorn baked apple aromas vanilla lead players palate balancing length spiced apple lemon curd cinnamon woody plump
73238,92337,Germany,Nahe,Prinz Salm,Riesling,89,zesty lemon lime skins perfume steely riesling bold body edged razor sharp midpalate yields slowly touches quince tangerine linger
268391,37490,France,Bordeaux,Château de Villambis,Bordeaux-style Red Blend,86,soft juicy fresh attractive berry fruits crisp light feel giving possibility medium term aging
125383,194482,US,California,Durney,Merlot,86,warm microclimate means reds carmel valley typically less herbal portions monterey boasts cedar cherries upfront turning tough bitter edge young food tame rough edges
36910,56009,US,Washington,Avennia,Bordeaux-style Red Blend,92,cabernet sauvignon merlot nearly equal parts blend balance cabernet franc coming vineyards includes bacchus willow klipsun boushey offers nuanced supremely balanced aromas spice dried herb raspberry blackberry palate delivers promise succulent reserved purity focus impeccable balance kicks notch
43553,62652,US,California,Joullian,Chardonnay,90,bountiful juiciness shows bottling honeysuckle salted apples scratched tangerine skin aromas anjou pear sliced pineapple vanilla bean palate leans tropical gets welcome restraint orange peel bitterness
201959,221058,US,California,Orogeny,Pinot Noir,87,sharp jammy cherry wintergreen cola coat sweet smoky sharpness persists
20661,270661,US,California,Charles B. Mitchell,Riesling,86,made style honeyed tastes yellow flowers peaches kumquats nougat vanilla cinnamon spice notable crisp spine makes clean balanced
154399,123498,France,Burgundy,Bailly-Lapierre,Sauvignon Blanc,86,intensely crisp strong lemon orange zest character tight honey steely mineral aftertaste better
176957,146056,US,California,Tobin James,Zinfandel,84,pruny raisiny faintly port like impression super maturity confirmed mouth dense porty everyone fans style cheer
16569,266569,US,California,Luna,Cabernet Sauvignon,92,shows napa pedigree soft ager lush currant blackberry tart cherry chocolate vanilla smoky spice delicious thick sweet
39496,58595,France,Burgundy,Domaine d'Eugenie,Pinot Noir,93,bought françois pinault owner bordeaux château latour domaine eugenie former domaine rené engel starting already style exhibits power concentration structure great vibrant berry rolling around mouth
42360,61459,US,California,Paraduxx,Red Blend,90,allowing zinfandel lead marriage cabernet sauvignon impressive mingling pepper clove leathery cigar fuel high powered succulence accented smoky drawl
223728,242827,US,Washington,Silver Lake,Sauvignon Blanc,81,yellow straw oxidized dull flat showing banana dried apple
271037,40136,US,California,Flint & Steel,Sauvignon Blanc,87,thickly concentrated style possesses balanced backbone citrus melon made decadent accompanying marshmallow vanilla bean
85792,154891,US,Washington,Preston,Chardonnay,88,balanced rounded chardonnay light citrus melon aging adds gentle toast vanilla extend gracefully moderate length
217203,236302,France,Loire Valley,Domaine de Terrebrune,Bordeaux-style Red Blend,85,tobacco fresh raspberry aromas light perfumed smoky fragrant cabernet franc touch blueberry intense burst finishing
7615,257615,New Zealand,Marlborough,Discovery,Sauvignon Blanc,86,lean herbal sauvignon blanc gently pungent aromas verge vegetal plenty verve crisp acids
225522,244621,US,California,Sonoma Creek,Pinot Noir,83,soft simple sweetish pinot cherry filling cola rhubarb contains dollop petite sirah body
227477,246576,US,California,Los Alisos,Chardonnay,81,tired hill chardonnay losing turning vegetal
89185,158284,Italy,Italy Other,Rivetti Massimo,Red Blend,90,made nebbiolo pinot nero delivers freshness structure intriguing aromas suggest rose tilled earth apple berries whiff cake spices palate offers wild cherry cinnamon alongside elegant persistent mousse crisp enjoy
4139,254139,US,California,Bella,Zinfandel,86,every effort seems made extract maximum amount richness result simply heavy mention oaky drily tannic tastes mashed blackberries anise pepper dark unsweetened cocoa
116953,186052,France,Bordeaux,Château Coufran,Bordeaux-style Red Blend,91,barrel sample firm sweet fruits fine balance light fresh side final structure
186315,205414,US,Washington,North by Northwest,Syrah,86,initial impression young juicy berries carries astringent streaks gravel chalk pleasant simple quick fade
258956,28055,US,California,Moone-Tsai,Cabernet Sauvignon,90,powerful cabernet bold alcohol ultra port like heat balanced luxurious cherry currant lush french imparts soft toastiness hard aging beyond decant enjoy soon
256661,25760,US,California,Joseph Jewell,Pinot Noir,91,fragrant inviting dark cherry raspberry cola spice medium weight pinot noir lush meaty bright veer dark cherry raspberry pronounced lift earth herb layered beautifully textured long
199513,218612,France,Burgundy,Albert Morot,Pinot Noir,92,poised soft pinot noir structure lesser known premier delicious fruits restrained exuberance fine jammy evolving already
227448,246547,France,Burgundy,Albert Bichot,Chardonnay,94,initially closed wood superbly assert unfolding toast lime tropical fruits plums dense fresh coming together working superb
44899,63998,US,California,Rich & Creamy,Chardonnay,85,melted butter butterscotch taffy medium bodied sweet candied personality
178020,147119,Germany,Mosel-Saar-Ruwer,Milz-Lauretiushof,Riesling,86,smoky intense petrolly medium bodied riesling goes degrees palate typical apple lemon lime touch oily finishing tangy citrusy edge
132053,101152,US,California,Cielo,Cabernet Sauvignon,92,dark bottling redolent kirsch crème cassis star anise cola palate framed leathery pinpoint like carry offering cola dried cherry licorice harbinger malibu potential
199445,218544,US,California,Waterstone,Cabernet Sauvignon,90,translucent color light body warn aging delicious bottle currant cherry violet cedar blend five classic bordeaux varieties
65038,84137,US,New York,Fulkerson,Riesling,87,whiffs minerality waxy lemon peel lanolin complexity lemon honey palate dainty steely backbone saffron spice made grapes frozen harvest
93154,162253,Italy,Veneto,Cantina Sociale della Valpantena,Red Blend,87,aromas raisin espresso palate shows blackberry prune evident carob shows heat vintage evolved soon
20684,270684,US,California,Lawson Ranch,Chardonnay,84,likeable gets basic chard creamy texture veneer sweet toasty peaches pineapples pears spices
48169,67268,France,Burgundy,Vignerons de Buxy,Pinot Noir,85,light fruity attractive fruits touch tannin hold friendly fruitiness together
49220,68319,US,New York,Shaw,Cabernet Sauvignon,91,bold strokes blackberry cassis bramble persist throughout surprisingly youthful late release cabernet sauvignon palate balanced neatly boasting brisk grippy maturation french contribute long marked sweet tobacco baking spices
75197,94296,US,California,Martin Ranch,Pinot Noir,88,powerful incense arises bottling thyme rosemary pomegranate touch herbal presence strong thyme oregano juniper forest floor dark base shows menthol element
219169,238268,US,Oregon,Libra,Pinot Noir,90,star among three libra wines tasted biodynamically farmed offering dark exotic range scents cherry liqueur cinnamon anise flowers breathes open perfumed spicy accents orange peel around substantial brambly
172792,141891,US,California,Paul Mathew,Pinot Noir,92,crisp raspberry tart prominent intoxicatingly alluring bright pomegranate dried herb minerality surrounds savory light bodied core bracing peppery spice
47589,66688,France,Bordeaux,Château la Haye,Bordeaux-style Red Blend,89,mint spice flavored concentrated structure plum berry fruits dense texture promises several aging
204782,223881,US,Washington,Stevens,Merlot,92,winemaker stevens dark subtle beautifully proportioned wines glide across palate like apollo dancing stars cool site brings floral citrus accents often missing merlot darker cherry plum fill behind supple sensuous savor possible cellar another decade
235402,4501,South Africa,Durbanville,Nitida,Sauvignon Blanc,89,winemaker bernhard veller surprisingly concentrated wood dominated sauvignon blanc initial aromas yellow melon grilled peach cedar plank orange cream baking spice full round palate smooth somewhat flabby texture forward overwhelm character
154632,123731,France,Burgundy,L. Tramier & Fils,Pinot Noir,89,firmly tannic structured young soften foursquare character often found nuits saint georges weight promising future ready
249905,19004,France,Bordeaux,Château les Guyonnet,Bordeaux-style Red Blend,84,smoky aromas wood aging strongly tough wooden plank dominate shame
191955,211054,France,Bordeaux,Château du Vallier,Bordeaux-style Red Blend,83,definitely downward slope gone replaced imported
81857,150956,US,California,Le Vigne,Cabernet Sauvignon,87,price cabernet quality aged four plus soft mellow drinkable enjoyable blackberry currant licorice spice cedar
20429,270429,US,California,Chateau St. Jean,Cabernet Sauvignon,90,aloof tannic lock something melt best decant hours advance drinking develop eight
72570,91669,US,Oregon,Elk Cove,Pinot Noir,91,cranberry raspberry cherry spicy tart carrying suggestion hard candy consistent throught tart promises development ahead late
195342,214441,France,Bordeaux,Château Bellevue,Bordeaux-style Red Blend,81,overripe spoils structure built around
124801,193900,US,Washington,Lone Canary,Bordeaux-style Red Blend,87,complements winery rosso blends bordeaux blend trio color murky though pleasant certain murkiness mixing earth toast hazelnut indistinct fruits finishing lick raspberry preserves purpose quaffing quite conjure bordeaux
230343,249442,US,California,Buttonwood Farm,Merlot,81,nowhere near asparagus boiled green bean aromas simply lacks richness
41752,60851,France,Bordeaux,Château Cantemerle,Bordeaux-style Red Blend,88,barrel sample fruity lightweight juicy soft attractively bright fresh open character
81998,151097,France,Bordeaux,Château Pibran,Bordeaux-style Red Blend,92,barrel sample shows dense concentrated richness without great complexity boasts spice fresh tingling
96348,165447,US,California,Simi,Pinot Noir,85,soft range medium bodied pinot noir areas including russian river valley sonoma coast imparts aromas rosemary herbes provence delving world tart cherry cranberry smoky
276813,45912,France,Alsace,Domaine Zinck,Riesling,89,mellow scent baked apple rises glass equally mellow freshness palate mild riesling enjoyable clean fruity mellow apple really gets
204777,223876,US,California,Calera,Pinot Noir,92,lush immediately attractive pinot seduces palate berry cola herb vanilla spice toasty silky fancy structure calls fine food young precocious feeling holding develop
261027,30126,France,Burgundy,Olivier Leflaive,Chardonnay,95,properly majestic impressive amounts crisp balance concentration layers peach apricot beautiful taut texture allow generous become opulent full bodied develops powerful
101619,170718,Germany,Mosel,Dr. Heidemanns-Bergweiler,Riesling,90,scents fresh apple pear accented touches mineral nuanced riesling palate feels lush fruity peach pear zesty lime shower minerality lend stately elegance surprisingly bold diminutive price
264167,33266,Germany,Baden,Huber,Pinot Noir,92,crisp cherries shaded layers toast graham crackers potpourri dried herbs complex powerful pinot noir anchored zesty cranberry penetrating finely textured coating linger
62321,81420,France,Champagne,Jean Milan,Chardonnay,90,vineyards oger milan family specializes chardonnay crisp intensely fruity shows grapefruit citrus apple touch toast giving roundness breathtaking intensity freshness dominant
239134,8233,Chile,Maipo Valley,Antiyal,Red Blend,92,blend carmenère cabernet sauvignon syrah stellar cool earthy aromas clay violet blackberry fresh herbs balanced palate plum berry mocha vanilla tobacco herbs spice vanilla textbook alto maipo comes
20290,270290,US,Washington,OS Winery,Red Blend,87,terrific ulysses sweaty tight tart unyielding palate herbal peppery requires effort released soon certainly question whether chocolaty ever smooth light tart berry pomegranate
82197,151296,France,Bordeaux,Château Fonbel,Bordeaux-style Red Blend,88,barrel sample juicy fresh layer spice blackberry juice sweet intense
102919,172018,US,California,Davies,Pinot Noir,91,palate brings broad texture plush mouthfeel warm nearly stewed polished opulent smells like baking spices tastes plummy lingering almost sweet
54509,73608,US,California,Failla,Pinot Noir,89,fine pinot drinking brisk coastal firm elaborate raspberry cherry persimmon touched sweet smoky
12639,262639,Argentina,Mendoza Province,El Rosal,Cabernet Sauvignon,87,rafael southern mendoza sauvignon picks steam complexity every back basic cassis raspberry medium weight palate features finishing sweet cascade milk chocolate burnt brown sugar satisfying especially like sweetness
102352,171451,US,California,J. Rickards,Zinfandel,83,sound fruity rustic zinfandel soft slightly sweet candied blackberry raspberry pepper licorice spice coating caramelized
202778,221877,France,Burgundy,Domaine Christophe Camu,Chardonnay,88,concentrated creamy complementing yellow fruits made fruity side chablis forward thread texture hinting minerality imported cellar door selections
190098,209197,France,Burgundy,Maison Jessiaume,Pinot Noir,93,bears fruity character enormous structure power offers plum dense texture concentration firm wood aging promise long future
7148,257148,US,California,Casa Torres,Pinot Noir,86,light silky texture pinot glides palate carrying spice include raspberries pomegranates cola licorice cinnamon pepper lovely respects notably sharp problem unlikely away
87695,156794,US,California,Riverbench,Chardonnay,92,valley santa barbara county continues prove relevance california chardonnay proven crisply elegant decadently delicious bursts mouth juicy pineapple white peach honeysuckle generously oaked balanced minerals
232649,1748,France,Bordeaux,Château Phélan-Ségur,Bordeaux-style Red Blend,92,often case phélan ségur excess wood sometimes works bold fruits powerful match toastiness suggests future fruited structured room juicy
145391,114490,France,Bordeaux,Château Plaisance,Bordeaux-style Red Blend,85,lean severe showing maturity leathery texture juicy background
38786,57885,US,Oregon,Ponzi,Chardonnay,93,ponzi owned vineyard chehalem mountains listed bright tense coiled energy hours breathe open poached pear lemon curd caramel apple first smoothes turns buttery
158348,127447,France,Bordeaux,Château de Fieuzal,Bordeaux-style Red Blend,93,opulent open seductively beautifully layering sweet berry fruits complex rounded structure bordeaux texture certainly world density
250733,19832,Argentina,Mendoza Province,Bodega Catena Zapata,Red Blend,93,fruity floral calm nothing aggressive place palate deep flush offers great mouthfeel toward juicy berry cassis chocolate like catena high enders cabernet malbec blend features toasty coffee mocha overall stylish impressive
11679,261679,Italy,Tuscany,Caiarossa,Red Blend,92,blockbuster biodynamic blend merlot sangiovese cabernet sauvignon cabernet franc syrah mouvèdre petit verdot grenache together varieties create dark brooding mature raisins leather spice beautiful intensity chewy creamy glycerin mouth
152141,121240,US,California,Carlisle,Zinfandel,94,vineyard planted tended producer bright lushly crisp field blend—soft luxurious smooth palate highlights seductive leap raspberry coulis perfumed lavender surprisingly nuanced despite full bodied ripeness accentuated vintage structured power behind scenes
245363,14462,US,California,V. Sattui,Cabernet Sauvignon,91,cabernet wants together tannic oaky fresh berry cherry dried currant balanced
138816,107915,US,Oregon,King Estate,Pinot Noir,90,part limited edition vineyard designate series plum sour cherry claim center stage sweet baking spice accents light touch caramel aging french
99569,168668,Chile,Cachapoal Valley,Anakena,Cabernet Sauvignon,88,blueberry boysenberry aromas blend graham cracker cardamon scents exotic mouth hard narrow tannic grating overall feel earthy baked limited blackberry toast long tannic choppy feel monotone
203550,222649,US,Washington,Tulpen,Cabernet Sauvignon,90,first cabernet seems shut tight supple mouthfeel suggests things almost grudgingly opens compact layers cassis rock ageworthy bottle
253129,22228,US,California,Verge,Syrah,84,tough gritty hard scoury kind brambly briary wild berry might find zinfandel finishes peppery sandpapery roughness might develop bottle gamble
28462,278462,US,Washington,Stevens,Bordeaux-style Red Blend,90,sleek subtle blend cabernet sauvignon merlot franc offers sharp tangy mixed fruits loads sweet spices cinnamon coconut baking spices waft glass palate explosively finishing grand chocolate finale interesting defined
228104,247203,US,New York,Bully Hill,Merlot,80,stemmy dominate candied unripe chalky tart feel
158830,127929,US,California,Tudal,Cabernet Sauvignon,86,rough around edges county cabernet shows plenty varietal character full bodied tannic blackberry currant
177820,146919,Austria,Burgenland,Gunter Triebaumer,Sauvignon Blanc,87,sauvignon blanc herb yellow grapefruit aromas attractive fruity another screwcap
150990,120089,US,California,Foxen,Pinot Noir,94,soft stroke rosewater single vineyard bottling raspberry fennel pollen iron palate benefits strong fennel white sage lifts berry meat texture simultaneously light penetrating
254577,23676,France,Alsace,Trimbach,Riesling,89,fully mature attractive fresh intense perfumes bright crisp palate textured finishes white currant ready
251195,20294,Chile,Casablanca Valley,Ventisquero,Pinot Noir,88,aromas tire rubber asphalt turns better palate feels creamy despite showing rubbery peppery cherry plum raspberry become salty mostly smooth solid
143436,112535,US,California,Grayson,Chardonnay,88,lush medium bodied extroverted personality starts aromas like butter vanilla toasted baguette emphasizes pear yellow peach soft texture lingering completes picture
155331,124430,France,Bordeaux,Château Ausone,Bordeaux-style Red Blend,95,certainly plenty wood weight impressive concentration brooding away giving dark firm character blackberry fruits buried
80486,99585,US,Washington,:Nota Bene,Syrah,91,accessible winery syrah mixes muscle meat highlights smaller component parts mourvèdre grenache overall clever blending bringing tart composted leaves moist loam light funk washington syrah shows baking spices tight precise
274395,43494,US,California,Lancaster,Bordeaux-style Red Blend,90,made majority cabernet sauvignon blend holds malbec merlot hearty elegant showing appellation herbal sage cedar combine waft peppercorn tobacco leaf inviting entry soft approachable layers enter scene dark chocolate
206932,226031,US,California,Beauregard,Syrah,85,sweetly soft candied pastry tart syrah smoky raspberries cherries cocoa vanilla cinnamon spice
51531,70630,Chile,Maipo Valley,Odfjell,Cabernet Sauvignon,86,first raspberry plum aromas stunted palate seems round basic airing reveals raspberry cassis strawberry winds friendly medium intensity cabernet immediate consumption
160842,129941,US,California,Apriori,Chardonnay,90,chardonnay unusual companion sémillon floral fruity equal measure tight bright supports fennel green apple impact playing subtle supporting role crisp
275166,44265,US,New York,Silver Thread,Riesling,88,swathes evergreen lend elegance piercing steel toned riesling palate touches honey lend sunny sweetness cutting lemon lime slick honeycomb extends
50644,69743,US,California,Rancho Sisquoc,Syrah,90,winery produces vast array wines syrah seems thrive best vineyard deep santa maria valley white pepper sweet plums blackberries relatively light palate pepper verve darker leather tobacco espresso great food
14688,264688,US,California,Mosaic,Merlot,85,everyday sort merlot extra qualities fine steaks chops displays firm finely ground upfront cherry coffee licorice
19304,269304,US,California,Hanna,Zinfandel,86,heat alcohol granted fully smooth voluptuous texture quite delicious berry mocha classic alcohol
93978,163077,Italy,Tuscany,Mazzei,Red Blend,90,hats mazzei brothers crafting pleasurable mirrors sunny warmth softness region unusual blend sangiovese alicante redolent lively cherries tobacco chocolate fudge
162294,131393,US,California,J Vineyards & Winery,Chardonnay,90,creamy thick food friendly white highlights honey green apple lingering decadence ginger hinting anise medium bodied represents vintage appellation price
158238,127337,US,California,Pellegrini,Pinot Noir,88,young tightly wound family olivet lane vineyard reduced generous spicy dark cherry aromas resplendent rose petal layered soft complexity plush textures lengthy caramel cola laced
25975,275975,US,California,Beringer,Cabernet Sauvignon,89,extraordinarily tough tannic dense simply consumed without proper aging outsized present standards rasping saved underlying integrity gamble long haul
144527,113626,US,California,Sand Point,Sauvignon Blanc,86,light bodied assertive sauvignon blanc exudes classic aromas fresh herb snap helping taste crisp true type
106044,175143,Germany,Mosel-Saar-Ruwer,Schloss Saarstein,Riesling,85,clearly mineral camp aromas stones gravel taking precedence peach lanolin kiwi peek mouth soft light bodied structure mineral short side
188754,207853,US,Washington,Tero Estates,Red Blend,90,initials stand super tuscan almost blend sangiovese cabernet sauvignon models elegant subtle power mélange baked plum raisins chocolate balance persistence plenty alcohol driven power
133196,102295,Spain,Catalonia,Codorníu,Pinot Noir,88,citrus peel stone aromas blend dusty yeasty touch spiced cherry juicy fresh spanish sparkler cherry raspberry plum elegance finishing long lightly peppery
164086,133185,US,California,Calera,Pinot Noir,90,bone tart seemingly simple expensive calera five pinot noirs showing tight mouthwatering cranberry rosehip tobacco feels elegant silky mouth cellar
188483,207582,US,California,Grgich Hills,Cabernet Sauvignon,90,presents fashioned style marked hard numbing frame blackberries licorice cherries mocha currants hard tell beyond proper decanting roasted grilled meats
145882,114981,US,California,Donkey & Goat,Syrah,97,seriously heap california syrah complex interesting sings pepper garrigue fleshy cherry leather dark plum mountainous fenaughty vineyard always source finishes long gorgeously possibly wait pepper mellow interesting ways
165780,134879,US,California,Buttonwood Farm,Syrah,90,pink stands ruby grapefruit aromas backed touches orange peel chalk mouthfeel grippy energetic recalling grapefruit juice pith perfect breakfast
10080,260080,US,Oregon,Chehalem,Pinot Noir,90,goal says winery craft embodies essence pinot noir whatever means priciest pinot designated reserve bulk power like gathers strength palate cherry concentration textural detail single vineyard corral creek
222139,241238,Argentina,Mendoza Province,Fantelli,Cabernet Sauvignon,84,choppy tannic thin aromas palate medium depth tannin driven rawness things harder ideal otherwise steady warming
47156,66255,US,California,Lafond,Riesling,91,dynamic late harvest subjected botrytis shows concentrated honey syrup cement like minerality lime pith petrol character palate delivers energy tension lime zest cutting across concentrated apple
115543,184642,US,California,Horse & Plow,Chardonnay,89,horse plow sourced organic grapes craft excellent chardonnay giving luxe treatment—handpicked whole cluster pressed french barrel fermentation aging nine months lee—and shows tropical bouquet driven vanilla ready
254667,23766,US,California,Black Stallion,Cabernet Sauvignon,88,gentle flashy reserve style cabernet drinking blackberry currants anise touches smoky tannin structure refinement upscale napa
103629,172728,France,Alsace,Lucien Albrecht,Riesling,86,perfumy light bodied plenty white flowers honey beeswax palate turns almost sharp pointing affinity oysters neither charm youthful complexity maturity better
236665,5764,France,Alsace,Domaine Barmès-Buecher,Riesling,92,distinct phenolic edge earthy lemon dominated taut riesling fruit—apart citrus—is subsumed earthy tense concentrated palate relax blossom bottle
4221,254221,US,California,Stepping Stone by Cornerstone,Syrah,88,feels muscular mouth powerful cherry currant bacon pepper sandalwood potent negotiable syrah decant several hours breathe
179773,148872,US,California,St. Supéry,Cabernet Sauvignon,92,bottling winery estate vineyard warm pope valley region relatively high alcohol full bodied blend mainly cabernet drop malbec merlot blackberries chocolate toasty thick furry suggesting aging
239812,8911,US,California,Testarossa,Pinot Noir,92,silky supple like great complex cherries currants raspberries cola anise dark chinese feels luscious mouth light gentle enormously complex best now–
190479,209578,Croatia,Podunavlje,Podrumi Belje,Pinot Noir,84,high toned cherry aromas bold full bodied croatian pinot transition deeply concentrated palate sprinkled cocoa vanilla texture lush overall grape feel harsh grippy
81475,150574,US,California,Gainey,Riesling,88,refreshing riesling clean crisp citrus fruits minerals honeysuckle jasmine residual sugar making litt polished
159259,128358,US,California,Blackbird Vineyards,Bordeaux-style Red Blend,94,bordeaux inspired blend cabernet franc merlot cabernet sauvignon tightly woven buoyant minerality baseline complexity balanced cranberry graphite herb tobacco leaf composed layered enjoyable
227499,246598,US,California,Rodney Strong,Chardonnay,86,immediately likeable direct candied peaches kiwis limes pineapples creamy texture
149083,118182,US,New York,T'Jara,Red Blend,89,whiff graham cracker lends warm spicy tone youthful cherry plum bold blend includes small proportions cabernet franc malbec cabernet sauvignon lush fruity palate maintains elegance vein granite minerality grippy mouthfilling
192319,211418,France,Bordeaux,Cru Monplaisir,Bordeaux-style Red Blend,85,fruity shows fruits immediately perfumed juicy fragrant offer structure though trumps somewhat likely develop quickly
167373,136472,Italy,Tuscany,Monterotondo,Red Blend,87,dark berry truffle toast kitchen spice aromas meld glass palate roasted coffee bean powdered sage ground pepper accent core dried cherry assertive provide framework ends astringent
9066,259066,US,New York,Atwater,Riesling,85,elegant riesling offers apricot flowers tropical palate balanced aromatic refreshing ends sweet spicy spin everyday great spicy cuisine
280340,49439,US,Washington,L'Ecole No. 41,Chardonnay,91,cool vintage takes full advantage delivered bracing fresh lively lime citrus fruits vivid wash rock life length across palate complex textural lovely
257801,26900,Austria,Kremstal,Salomon-Undhof,Riesling,95,merest touch tropicality passion hovers lemon orange kick palate edge reduction reassuring sign core poised tangerine aromatic oranges firmly held grapefruit freshness beautiful juxtaposition generosity tangy freshness smacking utterly fresh—that core invites explore
12934,262934,France,Bordeaux,Château Andron Blanquet,Bordeaux-style Red Blend,91,richly perfumed delicious raisins dried plums sweet opulent keeping watchful ripeness ready
233620,2719,Chile,Rapel Valley,Concha y Toro,Merlot,87,merlot excels beyond bargain classification showing purity high level quality bouquet exudes plum chocolate creaminess palate bursts blackberry bitter chocolate espresso round satisfying structure last two—or vintage comes around
230363,249462,US,California,Melville,Pinot Noir,95,extraordinarily high alcohol shows great extract masses squashed gooey cherries raspberries oodles spices feels opulent dramatic smoky adding complex almost feral layers glass gorgeous hold develop
222097,241196,New Zealand,Waipara,Pegasus Bay,Pinot Noir,87,seems tight sinewy dried spices cherries fore earth sous bois chocolate provide underpinnings crisp cranberry emerge imported meadowbank estates
